metro_station,lat,long
علی آباد,35.374233,51.24682
آزادگان,35.6273,51.3355
بهارستان,35.413,51.2558
بسیج,35.666406,51.490387
بریانک,35.67232,51.380607
بعثت,35.6447,51.4443
بیمه,35.4158,51.1914
چیتگر,35.7171,51.2439
دانشگاه امام علی,35.4114,51.2357
دانشگاه شریف,35.7058,51.3536
دانشگاه ترتیب مدرس,35.7250329,51.380645
دانشگاه علم و صنعت,35.357345,51.5048
دروازه دولت,35.420616,51.253372
دروازه شمیران,35.4206,51.2534
دکتر حبیب الله,35.7008,51.3785
دولت آباد,35.6186,51.4643
ابن سینا,35.6904,51.4568
ارم سبز,35.7176,51.302
فدک,35.4335,51.2833
فرهنگسرا,35.7298,51.5469
فردوسی,35.4206,51.2509
قايم,35.4758,51.3118
قیطریه,35.4735,51.2607
قلهک,35.4622,51.2617
حرم امام خمینی,35.324238,51.222274
حسن آباد,35.4111,51.2435
هلال احمر,35.6678658,51.3874595
هروی,35.7720518,51.4731197
حسین آباد,35.4111,51.2436
امام حسین,35.4207,51.2642
امام خمینی,35.4109,51.2511
جانبازان,35.4357,51.2825
جوادیه,35.3933,51.2317
جوانمرد قصاب,35.37718,51.25745
کهریزک,35.31183,51.22916
خواجه عبداله انصاری,35.4437,51.2749
خیام,35.402337,51.245927
کیانشهر,35.3758,51.2655
کمیل,35.6827326,51.3796743
مهدیه,35.401,51.2358
ملت,35.412,51.2537
میدان آزادی,35.7008,51.3785
میدان انقلاب,35.7011,51.3897
میدان حر,35.4127,51.2319
میدان جهاد,35.43139,51.24292
میدان محمدیه,35.40595,51.245614
میدان صنعت,35.7550157,51.3672315
میدان شهدا,35.6902,51.4476
میدان ولیعصر,35.4242,51.2426
میرداماد,35.4536,51.2601
میرزای شیرازی,35.4341,51.253
مولوی,35.6693134,51.4285005
منیریه,35.4052,51.246
مصلی,35.442392,51.254055
نبرد,35.6916,51.4777
نعمت آباد,35.3824,51.20518
نیروی هوایی,35.699,51.4986
نوبنیاد,35.4727,51.284
استاد معین,35.7008,51.3785
بالایشگاه,35.5598,51.3993
بانزده خرداد,35.404078,51.25294
بیروزی,35.6902,51.4476
سعدی,35.4135,51.2529
سرسبز,35.4406,51.2942
شادمان,35.4204,51.1955
شاهد,35.325081,51.22573
شهید باقری,35.4358,51.3059
شهید بهشتی,35.435387,51.253653
شهید بخارایی,35.382724,51.245392
شهید قدوسی,35.73146,51.445132
شهید حقانی,35.4521,51.2534
شهید همت,35.4451,51.2541
شهید کلاهدوز,35.4156,51.2955
شهید مدنی,35.4233,51.2709
شهید مفتح,35.4328,51.254
شهید محلاتی,35.7979673,51.50803881
شهید نواب صفوی,35.6955,51.3782
شهید صدر,35.4707,51.2629
شهید صیاد,35.734883,51.4593253
شهید زین الدین,35.4535,51.28
شهر ری,35.354236,51.252056
اکباتان,35.7055,51.3072
شریعتی,35.4546,51.264
شهدای هفتم تیر,35.4257,51.2534
شوش,35.393,51.2451
سهروردی,35.4352,51.2615
تجریش,35.4815,51.26222
طالقانی,35.422578,51.253372
تياتر شهر,35.4204,51.242
صادقیه,35.7178,51.3308
برج میلاد,35.7468257,51.3789936
تهرانبارس,35.7309,51.5318
بایانه جنوب,35.385231,51.245618
توحید,35.7008,51.3785
راه آهن,35.3935,51.2351
رودکی,35.682732,51.379674
سبلان,35.4305,51.2752
طرشت,35.7161,51.3435
